hour_ended,P Cl mg/l,P water flux mm/day,Q Cl mg/l,Q water flux mm/day,ET0 mm/day,S mm,P Mg mg/l,Q Mg mg/l
1/20/1984,0,0,8.6,3.95250838,0.02496267,5.165434827,0,0.89
1/21/1984,2.080507022,17.5,8.6,3.41627933,0.031458709,2.414119705,1.14,0.89
1/22/1984,1.042977922,0.5,8.6,3.192536313,0.060638773,1.115090618,1.14,0.89
1/23/1984,3.119338631,1.5,8.6,4.254310056,0,6.916656466,1.14,0.89
1/24/1984,2.262495132,4.25,8.6,3.223935754,0,1.415646466,1.14,0.89
1/25/1984,33.04873364,0.5,8.6,2.847142458,0,-1.161140966,1.14,0.89
1/26/1984,17,0.25,10,2.935759777,0.000721452,-0.705406222,1.14,0.96
1/27/1984,5.2,5,10,4.625446927,0,7.840516954,0.29,0.96
1/28/1984,5.2,14,10,4.676631285,0.053250916,7.735436933,0.29,0.96
1/29/1984,5.2,9.75,10,10.08208659,0.068763464,20.83000086,0.29,0.96
1/30/1984,5.2,7.974481005,10,10.02089665,0.116288296,20.73041073,0.29,0.96
1/31/1984,5.2,10.12519128,10,10.04694134,0.163362478,20.80272432,0.29,0.96
2/1/1984,7,39.24657193,10.4,23.22319274,0.132997352,33.84946049,0.45,0.76
2/2/1984,7,14.39599006,10.4,16.34211453,0.238891525,28.50578117,0.45,0.76
2/3/1984,7,7.47995528,10.4,15.66319274,0.29132181,27.59295857,0.45,0.76
2/4/1984,7,39.51603512,10.4,23.5827905,0.16713935,33.14968756,0.45,0.76
2/5/1984,7,27.52391871,10.4,19.6497905,0.173076783,30.78804865,0.45,0.76
2/6/1984,7,32.90261631,10.4,24.20167877,0.362358174,33.86917149,0.45,0.76
2/7/1984,7,8.33570051,10.3,14.95792458,0.358971009,27.26700509,0.45,0.8
2/8/1984,31,11.09707808,8,10.17638547,0.418477042,21.17141546,1.58,0.81
2/9/1984,31,0.133844945,8,6.997902235,0.62784734,15.23250389,1.58,0.81
2/10/1984,31,0.65400377,8,5.454829609,0.298836276,10.95436506,1.58,0.81
2/11/1984,0,0,8,4.426692737,0.307742551,7.256002525,0,0.81
2/12/1984,0,0,8,3.78600838,0.123744354,4.361728622,0,0.81
2/13/1984,0,0,8,3.301818436,0.602392174,1.784082654,0,0.81
2/14/1984,0,0,8,2.916703911,0.430356746,-0.637913143,0,0.81
2/15/1984,0,0,7.5,2.587952514,0.524068855,-2.949485495,0,0.83
2/16/1984,0,0,7.5,2.257768156,0.156244016,-5.748082539,0,0.83
2/17/1984,6.025519192,0.85395389,7.5,2.031963687,0.142687834,-7.944466291,0.23,0.83
2/18/1984,0,0,7.5,1.77227095,0.418932016,-10.83415743,0,0.83
2/19/1984,0,0,7.5,1.552600559,0.240320435,-13.78623878,0,0.83
2/20/1984,0,0,7.5,1.476075419,0.124902922,-15.05420391,0,0.83
2/21/1984,3.5,21.75640386,7.9,3.887798883,0.178195462,5.540154167,0.23,0.98
2/22/1984,3.5,6.72936507,7.9,6.278731844,0.267086523,13.66956905,0.23,0.98
2/23/1984,3.5,0.8173984,7.9,4.471215084,0.289382912,7.597503897,0.23,0.98
2/24/1984,0,0,7.9,3.520910615,0.475321503,3.050304048,0,0.98
2/25/1984,3.5,0.32865642,7.9,2.948379888,0.225053879,-0.357695627,0.23,0.98
2/26/1984,3.5,0.1673504,7.9,2.528798883,0.118891043,-3.424950225,0.23,0.98
2/27/1984,3.5,0.90470602,7.9,2.227198324,0.121420197,-6.035229506,0.23,0.98
2/28/1984,3.5,0.25,7.9,1.9845,0.176017366,-8.440359052,0.23,0.98
2/29/1984,17,1.15331966,7.7,1.782,0.329680268,-10.76536227,0.65,0.86
3/1/1984,17,3.79221884,7.7,1.766036313,0.260293755,-11.1784327,0.65,0.86
3/2/1984,17,6.14389024,7.7,2.251357542,0.351267101,-5.752349681,0.65,0.86
3/3/1984,17,2.75,7.7,1.864986034,0.515973129,-9.84723514,0.65,0.86
3/4/1984,17,1.75,7.7,2.019067039,0.414801608,-8.231542388,0.65,0.86
3/5/1984,17,0.25,7.7,1.889497207,1.146759459,-9.498622511,0.65,0.86
3/6/1984,0,0,7.7,1.761310056,0.495045652,-11.06219446,0,0.86
3/7/1984,0,0,7.8,1.697882682,0.706751543,-11.86616239,0,0.8
3/8/1984,0,0,7.8,1.624449721,0.430127039,-12.83314297,0,0.8
3/9/1984,0,0,7.8,1.563837989,0.501279265,-13.66582007,0,0.8
3/10/1984,6.4,0.25,7.8,1.506921788,0.602604792,-14.50226266,0.1,0.8
3/11/1984,6.4,4.75,7.8,1.565472067,0.502351787,-13.71581002,0.1,0.8
